frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
337,Jun 17 2019 12:38:12.865011000 MST,0.020990000,548,70,0
338,Jun 17 2019 12:38:12.869930000 MST,0.004919000,72,70,1
339,Jun 17 2019 12:38:12.871887000 MST,0.001957000,1398,70,1
340,Jun 17 2019 12:38:12.872943000 MST,0.001056000,2307,70,1
341,Jun 17 2019 12:38:12.878975000 MST,0.006032000,340,70,1
342,Jun 17 2019 12:38:12.882007000 MST,0.003032000,3978,70,1
343,Jun 17 2019 12:38:12.882883000 MST,0.000876000,3077,70,1
344,Jun 17 2019 12:38:12.885058000 MST,0.002175000,548,70,0
345,Jun 17 2019 12:38:12.904929000 MST,0.019871000,548,70,0
346,Jun 17 2019 12:38:12.913944000 MST,0.009015000,72,70,0
347,Jun 17 2019 12:38:12.923011000 MST,0.009067000,332,70,0
348,Jun 17 2019 12:38:12.945028000 MST,0.022017000,548,70,0
349,Jun 17 2019 12:38:12.970003000 MST,0.024975000,484,70,1
350,Jun 17 2019 12:38:12.987031000 MST,0.017028000,232,70,1
351,Jun 17 2019 12:38:13.004999000 MST,0.017968000,548,70,0
352,Jun 17 2019 12:38:13.009030000 MST,0.004031000,128,70,1
353,Jun 17 2019 12:38:13.014100000 MST,0.005070000,1158,70,0
354,Jun 17 2019 12:38:13.018965000 MST,0.004865000,120,70,1
355,Jun 17 2019 12:38:13.025047000 MST,0.006082000,548,70,0
356,Jun 17 2019 12:38:13.045100000 MST,0.020053000,548,70,0
357,Jun 17 2019 12:38:13.053937000 MST,0.008837000,100,70,0
358,Jun 17 2019 12:38:13.067955000 MST,0.014018000,72,70,1
359,Jun 17 2019 12:38:13.069889000 MST,0.001934000,120,70,1
360,Jun 17 2019 12:38:13.105076000 MST,0.035187000,548,70,0
361,Jun 17 2019 12:38:13.119927000 MST,0.014851000,128,70,1
362,Jun 17 2019 12:38:13.127020000 MST,0.007093000,364,70,1
363,Jun 17 2019 12:38:13.133940000 MST,0.006920000,1158,70,1
364,Jun 17 2019 12:38:13.154884000 MST,0.020944000,764,70,1
365,Jun 17 2019 12:38:13.160024000 MST,0.005140000,886,70,1
366,Jun 17 2019 12:38:13.165044000 MST,0.005020000,548,70,0
367,Jun 17 2019 12:38:13.174078000 MST,0.009034000,216,70,0
368,Jun 17 2019 12:38:13.182971000 MST,0.008893000,500,70,0
369,Jun 17 2019 12:38:13.212902000 MST,0.029931000,72,70,1
370,Jun 17 2019 12:38:13.225017000 MST,0.012115000,548,70,0
371,Jun 17 2019 12:38:13.238981000 MST,0.013964000,72,70,1
372,Jun 17 2019 12:38:13.242884000 MST,0.003903000,72,70,1
373,Jun 17 2019 12:38:13.243949000 MST,0.001065000,484,70,1
374,Jun 17 2019 12:38:13.264935000 MST,0.020986000,548,70,0
375,Jun 17 2019 12:38:13.273954000 MST,0.009019000,140,70,0
376,Jun 17 2019 12:38:13.283027000 MST,0.009073000,404,70,0
377,Jun 17 2019 12:38:13.295053000 MST,0.012026000,918,70,1
378,Jun 17 2019 12:38:13.295952000 MST,0.000899000,128,70,1
